+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name   | Interaction | Probability |
+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+-------------+-------------+
|  1   |                                                                                                                                                                                                                                                                                                 Dichlorophen                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  2   |                                                                                                                                                                                                                                                       Cyclohexyl 2,7,7-trimethyl-4-(4-nitrophenyl)-5-oxo-1,4,5,6,7,8-hexahydroquinoline-3-carboxylate                                                                                                                                                                                                                                                       | TP53_isoform_a |     YES     |     1.00    |
|  3   |                                                                                                                                                                                                                                                                                                 Zafirlukast                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  4   |                                                                                                                                                                                                                                                                                                  Salazodine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  5   |                                                                                                                                                                                                                                                                                                   m-3M3FBS                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  6   |                                                                                                                                                                                                                                                                                                  Carmustine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  7   |                                                                                                                                                                                                                                                                                                Sulfasalazine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  8   |                                                                                                                                                                                                                                                                                                 Fotemustine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  9   |                                                                                                                                                                                                                                                                                                  Walrycin B                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  10  |                                                                                                                                                                                                                                                                                               Triflupromazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  11  |                                                                                                                                                                                                                                                                                                 Mequitazine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  12  |                                                                                                                                                                                                                                                                                               Trifluoperazine                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  13  |                                                                                                                                                                                                                                                                                                 Fluphenazine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  14  |                                                                                                                                                                                                                                                                                                   Pecazine                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  15  |                                                                                                                                                                                                                                                                                               Sulfadimethoxine                                                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     1.00    |
|  16  |                                                                                                                                                                                                                                                                                                  Enflurane                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  17  |                                                                                                                                                                                                                                                                                            Apoptosis Activator 2                                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     1.00    |
|  18  |                                                                                                                                                                                                                                                                                                 Benzoxiquine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  19  |                                                                                                                                                                                                                                                                             1-Isopropyl-1h-1,2,3-benzotriazole-5-carboxylic acid                                                                                                                                                                                                                                                                            | TP53_isoform_a |     YES     |     1.00    |
|  20  |                                                                                                                                                                                                                                                                                                 Sulfadoxine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  21  |                                                                                                                                                                                                                                                              1-[3,5-Bis(trifluoromethyl)phenyl]-3-[2,4-dibromo-6-(2H-tetrazol-5-yl)phenyl]urea                                                                                                                                                                                                                                                              | TP53_isoform_a |     YES     |     1.00    |
|  22  |                                                                                                                                                                                                                                                                                                 Cyamemazine                                                                                                                                                                                                                                                                                                 | TP53_isoform_a |     YES     |     1.00    |
|  23  |                                                                                                                                                                                                                                                                                                 Nitazoxanide                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  24  |                                                                                                                                                                                                                                                                   4-(5-(4-Chlorophenyl)-2-methyl-3-propionylpyrrol-1-yl)benzenesulfonamide                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  25  |                                                                                                                                                                                                                                                                                                Tyrphostin B48                                                                                                                                                                                                                                                                                               | TP53_isoform_a |     YES     |     1.00    |
|  26  |                                                                                                                                                                                                                                                                                                   Mitotane                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  27  |                                                                                                                                                                                                                                                                                                   Bosentan                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
|  28  |                                                                                                                                                                                                                                                                                                Niflumic acid                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  29  |                                                                                                                                                                                                                                                                                              Hydroflumethiazide                                                                                                                                                                                                                                                                                             | TP53_isoform_a |     YES     |     1.00    |
|  30  |                                                                                                                                                                                                                                                                                                 Acepromazine                                                                                                                                                                                                                                                                                                | TP53_isoform_a |     YES     |     1.00    |
|  31  |                                                                                                                                                                                                                                                                                                   Flunixin                                                                                                                                                                                                                                                                                                  | TP53_isoform_a |     YES     |     1.00    |
