+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+---------------+
| Rank |                                                                                                                                                                                                                                                                                                  Drug Name                                                                                                                                                                                                                                                                                                  |  Target Name  | Binding Score |
+------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+---------------+
|  1   |                                                                                                                                                                                                                                                                                  2-(4,5-Dihydro-1H-imidazol-2-yl)quinoline                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  2   |                                                                                                                                                                                                                                                                                                 Clevidipine                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  3   |                                                                                                                                                                                                                                                                                  2-Amino-5-(ethylamino)-5-oxopentanoic acid                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  4   |                                                                                                                                                                                                                                                                                                 Fesoterodine                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  5   |                                                                                                                                                                                                                                                                                                  Ebrotidine                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  6   |                                                                                                                                                                                                                                                                                                 Aceclofenac                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  7   |                                                                                                                                                                                                                                                                                             Isopropyl palmitate                                                                                                                                                                                                                                                                                             | mlh1 isoform1 |     -0.04     |
|  8   |                                                                                                                                                                                                                                                                                               Sulfamethoxazole                                                                                                                                                                                                                                                                                              | mlh1 isoform1 |     -0.04     |
|  9   |                                                                                                                                                                                                                                                                                          Arecaidine propargyl ester                                                                                                                                                                                                                                                                                         | mlh1 isoform1 |     -0.04     |
|  10  |                                                                                                                                                                                                                                                                                                  Dazmegrel                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  11  |                                                                                                                                                                                                                                                                                                  Prepulsid                                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  12  |                                                                                                                                                                                                                                                                                                 Flopropione                                                                                                                                                                                                                                                                                                 | mlh1 isoform1 |     -0.04     |
|  13  |                                                                                                                                                                                                                                                               (2S,3S,4S,5R,6S)-2-(Hydroxymethyl)-6-[4-(hydroxymethyl)phenoxy]oxane-3,4,5-triol                                                                                                                                                                                                                                                              | mlh1 isoform1 |     -0.04     |
|  14  |                                                                                                                                                                                                                                                                                                 Valacyclovir                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  15  |                                                                                                                                                                                                                                                                                  5-Methoxycarbonylamino-N-acetyltryptamine                                                                                                                                                                                                                                                                                  | mlh1 isoform1 |     -0.04     |
|  16  |                                                                                                                                                                                                                                                                                                     UNK                                                                                                                                                                                                                                                                                                     | mlh1 isoform1 |     -0.04     |
|  17  |                                                                                                                                                                                                                                                                                                 CID 72547474                                                                                                                                                                                                                                                                                                | mlh1 isoform1 |     -0.04     |
|  18  |                                                                                                                                                                                                                                                                                              cis-Urocanic acid                                                                                                                                                                                                                                                                                              | mlh1 isoform1 |     -0.04     |
